Designator,Footprint,Quantity,Value
"BOOT1, RESET1",SW_SPST_B3U-1000P,2,SW_Push
C1,0402,1,0.1uF
"C2, C4, C5",0402,3,1uF
C3,0402,1,10uF
D1,0402,1,LED
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P
"J2, J3",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04
"R1, R2",0402,2,10k
"R3, R4",0402,2,5.1k
R5,0402,1,1k
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F042F6Px
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV
